local_filepath,s3_filepath,timestamp
tmp/USGS_WaterCycle_English_ONLINE.png,visualizations/images/USGS_WaterCycle_English_ONLINE.png,2023-03-29T21:27:28Z
tmp/USGS_WaterCycle_English_ONLINE.webp,visualizations/images/USGS_WaterCycle_English_ONLINE.webp,2023-03-29T21:27:46Z
tmp/USGS_WaterCycle_Spanish_ONLINE.png,visualizations/images/USGS_WaterCycle_Spanish_ONLINE.png,2023-03-29T21:28:03Z
tmp/USGS_WaterCycle_Spanish_ONLINE.webp,visualizations/images/USGS_WaterCycle_Spanish_ONLINE.webp,2023-03-29T21:28:16Z
